codigo,descricao,is_st,is_transferencia
1914,RETORNO ESTADUAL MERC.REMETIDA EXPOSICAO,False,False
1915,ENTRADA DE MERCADORIA OU BEM RECEBIDO PARA CONSERTO OU REPAR,False,False
1916,RETORNO DE MERCADORIA OU BEM REMETIDO PARA CONSERTO OU REPAR,False,False
1917,ENTRADA DE MERCADORIA RECEBIDA EM CONSIGNACAO MERCANTIL OU I,False,False
1918,DEVOLUCAO DE MERCADORIA REMETIDA EM CONSIGNACAO MERCANTIL OU,False,False
1919,DEVOLUCAO SIMBOLICA DE MERCADORIA VENDIDA OU UTILIZADA EM PR,False,False
1920,ENTRADA DE VASILHAME OU SACARIA,False,False
1921,RETORNO DE VASILHAME OU SACARIA,False,False
1922,LANC. EFETUADO A TIT. FATUR. DECOR. DE COMPRA P/ RECEB. FUT,False,False
1923,"ENTR.DE MERC. RECEBIDA DO VENDEDOR REMET., EM VENDA A ORDEM",False,False
1924,ENTRADA PARA INDUSTRIALIZACAO POR CONTA E ORDEM DO ADQUIRENT,False,False
1925,RETORNO DE MERCADORIA REMETIDA PARA INDUSTRIALIZACAO POR CON,False,False
1926,LANCAMENTO EFETUADO A TITULO DE RECLASSIFICACAO DE MERCADORI,False,False
1929,LANÇAMENTO EFETUADO EM DECORRÊNCIA DE EMISSÃO DE DOCUMENTO F,False,False
1932,AQUISICAO DE SERVICO DE TRANSPORTE INICIADO EM UNIDADE DA FE,False,False
1933,AQUISICAO DE SERVICO TRIBUTADO PELO ISSQN,False,False
1949,OUTRA ENTRADA DE MERC. OU PRESTACAO DE SERV. NAO ESPECIFICAD,False,False
2000,ENTRADAS OU AQUISICOES DE SERVICOS DE OUTROS ESTADOS,False,False
2100,"COMPRAS PARA INDUSTRIALIZACAO, COMERCIALIZACAO OU PRESTACAO",False,False
2101,COMPRA INTERESTADUAL P/INDUSTRIALIZACAO,False,False
2102,COMPRA INTERESTADUAL P/ REVENDA,False,False
2111,COMPRA PARA INDUSTRIALIZACAO DE MERCADORIA RECEBIDA ANTERIOR,False,False
2113,"COMPRA PARA COMERCIALIZACAO, DE MERCADORIA RECEBIDA ANTERIOR",False,False
2116,COMPRA PARA INDUSTR. ORIGINADA DE ENCOMENDA PARA RECEB. FUTU,False,False
2117,COMPRA PARA COMER. ORIGINADA DE ENCOMENDA PARA RECEB.O FUTUR,False,False
2118,COMPRA DE MERCADORIA PARA COMERCIALIZACAO PELO ADQUIRENTE OR,False,False
2120,"COMPRA PARA INDUSTRIALIZACAO, EM VENDA A ORDEM, JA RECEBIDA",False,False
2121,"COMPRA PARA COMERCIALIZACAO, EM VENDA A ORDEM, JA RECEBIDA D",False,False
2122,COMPRA PARA INDUSTRIALIZACAO EM QUE A MERCADORIA FOI REMETID,False,False
2124,INDUSTRIALIZACAO EFETUADA POR OUTRA EMPRESA,False,False
2125,INDUSTRIALIZACAO EFETUADA POR OUTRA EMPRESA QUANDO A MERCADO,False,False
2126,COMPRA PARA UTILIZACAO NA PRESTACAO DE SERVICO,False,False
2150,"TRANSFERENCIAS PARA INDUSTRIALIZACAO, COMERCIALIZACAO OU PRE",False,True
2151,TRANSFERENCIA PARA INDUSTRIALIZACAO,False,True
2152,TRANSFERENCIA PARA COMERCIALIZACAO,False,True
2153,TRANSFERENCIA DE ENERGIA ELETRICA PARA DISTRIBUICAO,False,True
2154,TRANSFERENCIA PARA UTILIZACAO NA PRESTACAO DE SERVICO,False,True
2200,"DEVOLUCOES DE VENDAS DE PRODUCAO PROPRIA, DE TERCEIROS OU AN",False,False
2201,DEVOLUCAO DE VENDA DE PRODUCAO DO ESTABELECIMENTO,False,False
2202,DEVOLUCAO DE VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TE,False,False
2203,"DEVOLUCAO DE VENDA DE PRODUCAO DO ESTABELECIMENTO, DESTINADA",False,False
2204,DEVOLUCAO DE VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TE,False,False
2205,ANULACAO DE VALOR RELATIVO A PRESTACAO DE SERVICO DE COMUNIC,False,False
